surface,embedding
do,1.008552 1.525870 0.692955 0.988345 -0.628618 -0.422544 0.879166 0.197033 0.750728 1.297383 -0.113326 -0.686325 -0.850917 0.381819 -0.006226 0.160402
will,1.282111 1.870244 -0.003070 0.536920 -0.180969 0.820166 0.483557 0.150453 0.831960 0.349828 0.163836 -0.921623 -0.834377 1.093625 -0.690163 0.447189
he,0.544609 0.313773 -0.478640 -0.198810 1.560522 1.708155 -0.170533 0.139142 2.700003 -0.120444 0.011566 -0.155283 0.649401 -0.311391 -0.479635 0.894749
at,-0.718962 -0.021812 0.421442 -0.309759 -0.382697 -0.568507 -0.572769 -0.926064 -0.306174 0.132423 1.848562 0.316016 0.084050 1.262605 0.649431 -0.079436
?,-0.903365 1.794193 0.318772 -1.408486 -0.229160 -0.881244 -1.776709 1.538544 -0.542625 -0.857144 -1.075215 -2.180437 -0.301508 -1.155506 -0.210434 0.042636
but,0.468847 0.501461 0.407927 0.025808 0.124963 1.144111 -1.148749 1.546033 -0.557344 0.110571 -1.074671 -0.860787 0.046690 -1.233984 1.985158 0.388625
if,-0.857175 -1.080566 -0.404874 -0.368879 0.359706 2.079207 -1.079409 -0.421231 1.438753 0.740635 1.023115 0.264488 0.011098 1.422614 1.486798 1.208410
or,0.172860 1.155061 0.105068 -0.323476 0.595420 0.319534 -1.325674 1.101094 -0.656278 0.104785 -0.735155 -0.426118 0.589306 -1.431768 0.998537 0.803567
your,-0.193857 0.310002 -0.982520 -0.761981 1.263504 0.361745 0.053749 0.583378 1.230670 0.175423 -0.656613 1.410680 2.500808 -0.971569 0.115546 1.095434
from,-1.112445 -0.082589 0.289186 -0.351743 -0.274033 -0.279669 -0.689641 -0.887905 -0.242998 0.101532 1.670636 0.717648 0.011863 1.594408 0.572524 -0.180189
n't,-1.103746 1.748134 0.435013 -0.655553 0.925664 1.802274 -0.224039 0.796235 -1.317967 -0.673277 -0.557681 0.301170 -1.875968 1.814713 -0.834703 -0.908557
by,-1.202866 0.105870 0.220484 -0.451422 -0.028238 -0.261063 -0.666705 -0.807848 -0.324935 0.061906 1.440456 1.011130 -0.096480 1.635232 0.369662 -0.281546
can,1.178511 0.906730 0.088492 0.335382 -0.533736 0.880466 0.557449 0.368220 0.272219 0.215072 0.252874 -1.072338 -0.827773 1.169621 -0.344691 0.243665
would,1.342774 1.625791 0.025296 0.882727 -0.057762 0.712204 0.533873 0.198518 1.136703 0.499616 0.009429 -0.920966 -0.738423 1.162585 -0.278393 0.477112
me,-0.657602 -0.110807 -0.087823 -0.581060 1.133206 0.136029 -0.151070 -0.586317 1.911829 0.608694 0.569959 0.070610 1.146378 0.057702 0.030122 0.779003
:,-1.071839 1.386061 0.083418 -0.768224 -0.253503 -0.139568 -1.427716 0.747752 -1.052020 -0.787193 -1.329279 -1.206111 0.114378 -0.842600 0.476017 -0.182314
there,-1.382373 0.784359 0.521390 0.000323 1.492781 1.351478 -0.213083 0.900259 1.256805 -0.739527 -0.364619 1.588445 -0.042756 0.053079 -0.856309 0.550798
so,-0.762448 -0.259187 0.384170 -0.362122 0.567855 1.330721 -0.204225 0.507745 -0.357609 0.157710 0.376396 1.166834 -0.890006 0.905471 0.565070 -0.026820
!,-1.843828 1.929715 0.496894 -1.678864 -0.150945 -0.803529 -1.341434 1.192870 -0.542557 -1.332508 -1.396611 -1.592799 -0.658803 -0.376426 -0.471977 -0.689620
all,-1.037631 -0.070753 0.331415 0.010391 0.508456 0.214088 0.036898 0.010373 0.009060 -0.131797 0.163162 1.622796 0.687377 0.145136 0.475839 0.064210
has,2.014435 1.162028 0.573952 0.518300 -0.199513 -0.123108 0.679850 0.219875 0.523758 -0.081138 -0.328080 -1.043639 -0.426927 0.817957 0.395515 -0.413955
an,-1.463745 0.363780 -0.371307 -0.749478 0.654326 0.235302 -0.457230 -0.287151 0.238562 -0.041779 -0.012339 2.361537 0.873611 1.085963 -0.310436 -0.122419
had,1.963260 0.588775 0.871850 0.362444 -0.115335 -0.392751 0.791349 0.264362 0.440171 -0.019932 -0.038692 -0.701228 -0.275068 0.551485 0.954114 -0.531944
one,0.142641 -0.277252 -0.331265 0.620592 0.352422 0.035391 0.594302 0.365258 0.576375 -0.082352 -0.483984 0.610825 0.844265 -1.201040 0.114897 0.062317
out,-1.284737 -0.572038 0.450428 0.456690 0.113982 -0.116589 -0.227913 -0.608617 -0.147350 -0.022176 0.559152 0.874436 -0.259768 0.699514 -0.027714 -0.432494
about,-0.936760 0.060680 0.198395 -0.434719 0.148539 -0.065334 -0.504914 -0.180084 -0.629506 0.097043 1.440898 1.010832 -0.565375 1.584500 0.799756 -0.406072
what,-0.248682 -0.399411 -0.791234 0.100749 0.292827 1.369839 -0.003700 -0.165705 1.553819 0.246787 0.160758 0.051525 0.479561 0.117480 0.605596 0.493293
their,-0.302528 0.638729 -1.024229 -0.832932 1.517820 0.388124 -0.083262 0.612428 1.412119 0.088367 -0.449687 1.420265 2.474740 -0.771647 0.058259 1.210486
like,-0.148560 -0.512987 -0.101546 -0.114547 -0.311566 0.335256 -0.259542 -0.833892 0.458166 0.494209 1.028861 -0.237342 -0.176089 0.524061 0.805807 0.194756
time,-0.680487 -0.756882 0.212744 0.193266 -0.720408 0.288481 0.671602 0.394629 -0.157878 -0.113144 0.101962 0.129464 -0.198954 -0.452623 -0.246434 -0.110388
were,1.384863 0.801844 0.545183 0.321741 -0.807310 -0.255531 0.280644 0.145064 -0.247614 -0.086573 0.306359 -0.848634 -0.572067 0.875925 0.194712 0.034726
when,-1.355588 -0.410261 0.129180 -0.167252 0.477612 2.569083 -0.300168 0.775961 -0.782559 0.009736 0.439745 1.659627 -1.368723 2.001623 1.205035 -0.490724
up,-1.328122 -0.393108 0.317865 0.155921 -0.067826 -0.120854 -0.059639 -0.543976 -0.066161 0.015154 0.532659 0.807698 -0.160155 0.535948 -0.051190 -0.397192
get,1.298015 0.103341 0.811690 0.328234 -0.262447 -0.508698 0.566424 0.379753 -0.120316 0.164421 0.210525 -0.486682 0.179294 0.320011 1.724499 -0.402971
just,-0.935315 0.958771 0.749429 -0.362683 0.775111 1.331805 -0.032616 0.616954 -1.236730 -0.548088 -0.292979 1.159486 -1.344334 1.041328 -0.108925 -0.631516
his,0.400357 0.429581 -1.158080 -0.647316 1.606271 -0.019726 0.074939 0.809032 1.625106 0.305621 -0.651283 1.230947 2.695805 -1.253474 0.376249 1.153176
our,-0.114811 0.432307 -1.140928 -0.814722 1.704493 0.185782 -0.196721 0.347562 2.023605 0.317849 -0.483370 1.385856 3.008771 -0.921153 0.209554 1.544081
who,0.288772 0.495918 -0.583634 -0.507631 1.285662 1.917615 -0.174557 -0.054488 1.960266 -0.188211 0.492989 -0.533666 0.372186 0.348176 -0.587471 1.214770
some,-0.993140 0.085673 -0.406779 -0.185474 0.497038 0.231315 -0.264683 -0.144456 0.388842 -0.062889 -0.112501 1.837388 1.107702 0.133553 -0.093163 0.117308
them,-0.182859 -0.542635 0.052660 -0.183383 1.053443 -0.088584 0.150280 -0.013197 1.717018 0.493737 0.221174 -0.068234 0.989977 -0.243404 0.035865 0.565840
know,0.656009 -0.250041 1.109820 0.287849 -0.271188 0.037240 -0.043354 0.591537 -0.155225 0.254085 -0.766376 -1.295080 -0.024084 -0.022832 1.447913 -0.360592
which,-0.282062 -0.208392 -0.608184 0.038403 0.456951 1.553839 -0.200807 -0.363698 1.608433 -0.182066 0.396933 -0.225335 0.299419 0.127979 -0.206525 0.427875
been,1.802724 0.905349 0.601627 0.140614 -0.666297 -0.207561 0.283551 0.119096 -0.081475 -0.343296 -0.262287 -1.106227 -0.611822 1.276167 0.550765 -0.412062
also,-1.006146 0.925323 0.644051 -0.543755 0.354017 1.225885 0.039375 0.617703 -0.854044 -0.849151 -0.540605 0.959729 -1.415840 0.836088 -0.422441 -0.512063
am,0.801890 0.409206 0.401695 0.263885 -1.021092 -0.506509 0.396276 -0.216888 -0.064048 -0.137898 0.244983 -0.547553 -0.526343 0.764866 -0.382935 0.198056
us,-0.447893 -0.323229 -0.231470 -0.023313 -0.299220 -0.024061 0.394679 -0.288308 0.320181 0.145819 0.164872 0.211906 0.535352 -0.342055 -0.247886 0.081835
very,-0.728340 0.615187 0.456280 -0.758589 0.872307 -0.225847 -0.201315 0.458724 -1.132636 -0.096527 0.578898 2.095457 -0.998597 1.133279 0.127404 -0.487920
any,-1.112424 0.478490 -0.489156 -0.566785 0.955840 0.163173 -0.452764 -0.073049 0.496425 0.110519 0.009300 2.161350 1.058233 0.692227 -0.070821 0.196999
more,-0.884724 0.062177 0.208626 -0.071949 0.072517 0.064350 0.313398 0.186455 -0.819342 -0.254034 0.021522 1.306247 -0.344518 0.323920 -0.096122 -0.514929
no,-1.061561 0.467890 -0.196951 -0.596688 0.138860 0.143278 -0.163632 0.016750 -0.512806 -0.195111 0.087040 2.003713 -0.342695 0.958595 0.005222 -0.293458
good,-0.496694 0.056372 0.005195 -0.106945 -0.058025 0.146641 0.459080 0.520269 -0.944271 -0.113449 -0.505644 1.560148 -0.039317 -0.322299 -0.210196 -0.115105
did,0.872312 1.495399 0.902848 0.757455 -0.625864 -0.553138 0.861866 0.170998 0.514873 1.218546 0.018870 -0.679121 -0.884735 0.329087 -0.135016 0.339519
could,1.887239 1.771648 0.283172 0.954242 -0.724549 0.619872 0.844885 0.569027 0.494702 0.433402 -0.231079 -1.089332 -0.816600 1.383751 -0.366889 0.061836
him,-0.597595 -0.610793 -0.089243 -0.427015 1.224942 -0.020058 -0.207061 -0.508054 1.905183 0.619504 0.508022 0.101049 1.230754 0.090822 0.185905 0.749074
new,-0.426841 0.086374 -0.562272 -0.011701 -0.221831 0.195192 0.546707 0.363176 -1.130563 -0.158454 -0.412768 1.463980 0.383920 -0.199579 -0.210069 -0.165979
go,0.796834 -0.220501 0.996339 0.779051 -0.148264 -0.350039 -0.065152 0.417783 -0.199461 0.194374 -0.582351 -1.010829 -0.005116 -0.104541 0.627235 -0.273539
other,-0.730193 0.229828 -0.233520 -0.099176 -0.245997 0.139041 0.342349 0.385393 -0.943368 -0.152650 -0.232818 1.635088 0.161781 0.142171 -0.332707 -0.377775
she,0.340542 0.295106 -0.332159 -0.438461 1.505108 1.742209 -0.492442 -0.165777 2.589473 -0.149811 0.285635 -0.226647 0.477900 -0.002976 -0.645905 1.306866
only,-0.895062 0.979894 0.504736 -0.239078 0.608187 0.850731 0.122051 0.640504 -1.177201 -0.484539 -0.223919 1.509093 -0.962486 0.632333 -0.099626 -0.644922
please,-0.784955 1.129672 -0.260917 -0.945547 -0.324632 1.724018 0.076964 -0.205225 0.140091 -0.479655 -0.208005 1.204630 -0.893040 0.790578 -0.689599 0.182026
$,-0.186579 1.275276 -0.581224 -0.859317 -0.593485 -0.517365 -0.129358 0.357970 -0.872391 -0.759274 -0.022112 0.622793 0.519632 -0.935902 0.405503 -0.418942
how,-1.045979 0.378513 0.824637 -0.042324 0.491223 1.142210 -0.144088 0.664539 -1.117053 -0.605932 -0.259047 1.142465 -0.900229 0.714737 0.431441 -0.561867
should,1.574577 1.668595 0.127884 0.944752 -0.600398 0.705281 0.822413 0.508741 0.644741 0.434841 -0.051291 -1.162247 -0.758143 1.288777 -0.305287 -0.021165
people,0.067155 -0.334774 0.031832 0.348486 -0.133497 0.838430 0.458522 0.218776 0.254892 0.069298 0.130875 -0.340981 -0.150116 -0.645387 -0.374448 0.311618
may,0.388543 1.506003 -0.225638 0.502397 -0.633728 0.768213 0.385116 -0.220743 0.136408 0.176709 0.548178 -0.773191 -0.789153 0.566897 -0.824058 0.310299
',-0.890996 0.633902 0.195613 -0.330509 -0.272549 -0.106192 -0.814659 0.267362 -1.152477 -0.611606 -0.790441 -0.300753 -0.104677 0.137097 0.053086 -0.713088
then,-0.682062 0.408405 0.445041 -0.338050 0.192248 1.272225 -0.178540 0.766030 -1.018816 -0.395656 -0.110478 0.641097 -1.189490 0.628466 0.373334 -0.178901
back,-0.767179 -0.500786 0.515208 0.531615 0.210038 -0.001631 0.045029 -0.065680 -0.411619 0.209549 0.366294 0.484769 -0.786096 0.435248 -0.196990 -0.408094
now,-1.113205 0.304123 0.813107 -0.471184 0.301368 1.071311 0.071065 0.882259 -0.815396 -0.603146 -0.219415 1.132789 -1.240750 0.751254 -0.096506 -0.471937
said,0.888824 0.115520 0.794807 0.060063 -0.469214 -0.119601 -0.446185 0.925201 -0.077690 -0.047332 -1.091266 -1.446561 -0.088986 0.006534 1.401428 -0.277555
even,-1.138097 1.120022 0.961521 -0.039747 0.833416 0.976922 -0.041640 0.505892 -1.184967 -0.103566 0.117562 1.473152 -1.568788 1.309623 -0.257357 -0.697166
...,-1.132704 1.266619 0.350727 -1.063804 -0.287758 0.160553 -1.363857 1.072892 -0.906112 -0.878913 -1.272810 -1.586887 -0.010386 -0.964727 0.581253 -0.123293
after,-0.645415 -0.051061 0.209096 -0.472150 -0.136167 0.396391 -0.575023 -0.565882 -0.210946 0.141309 1.517554 0.435930 -0.341691 1.263054 0.709977 0.095582
work,0.446766 -0.405053 0.156187 0.850627 -0.357921 -0.367251 0.513926 0.076975 -0.017158 0.095054 0.246212 -0.525441 -0.398858 -0.108695 0.142407 -0.128991
bush,-0.200823 0.583036 -0.213747 0.272690 -0.789677 0.335076 0.036612 -0.190917 -0.280044 -0.411068 -0.405885 -0.895158 -0.223518 -0.307729 -0.884785 -0.255486
well,-1.198954 -0.249210 0.851750 -0.411885 0.185505 -0.071459 0.155086 0.467014 -0.338786 -0.102262 0.221644 1.011399 -0.749210 0.924738 -0.823280 -0.117429
want,1.701954 -0.485585 1.349065 0.645056 -0.265624 -0.056615 -0.356162 0.883236 0.717502 0.106639 -1.195137 -1.314520 0.162600 -0.082773 1.384124 -1.021331
her,0.014287 -0.037389 -0.475047 -0.431301 1.222624 -0.018536 0.174795 0.192875 1.446182 0.408919 -0.221274 0.663974 1.703901 -0.802155 0.250858 0.798662
/,0.095006 1.133752 -0.219726 -0.577970 0.023885 0.247320 -1.391860 1.241906 -1.262300 -0.185455 -0.993481 -0.457852 0.396342 -1.401881 0.694966 0.287933
great,-0.662965 0.366443 -0.154367 -0.275823 -0.178749 0.100980 0.530597 0.461001 -0.801617 -0.165989 -0.542972 1.617272 -0.200054 -0.171589 -0.308232 -0.155695
because,-0.661592 -0.831829 -0.186074 0.280714 0.215115 1.659974 -0.636373 -0.058540 0.258217 0.182838 1.097691 0.217020 -0.490489 1.283936 1.036868 0.254722
way,-0.699635 -0.333841 0.268998 0.382406 -0.465557 0.384199 0.521912 0.272527 -0.389608 -0.189098 0.194161 0.191396 -0.573384 -0.045790 -0.185096 -0.213183
see,1.697713 0.102228 0.756984 0.292385 0.069622 -0.388650 0.716453 0.872956 0.461154 0.485223 -0.471876 -0.372941 0.346180 -0.054343 1.939048 -0.418275
best,-0.489076 0.326209 -0.085304 -0.116147 -0.203708 0.139206 0.263873 0.529921 -0.846523 -0.265177 -0.401425 1.258550 -0.458839 -0.328313 -0.450910 -0.048796
than,-0.874387 -0.191556 0.119716 -0.216451 0.023213 0.262300 -0.398502 -0.352272 -0.453665 0.315752 1.287325 0.711371 -0.216294 1.247813 0.716232 -0.149691
these,-0.864959 -0.063900 -0.442857 -0.516445 0.239569 0.423416 -0.562803 -0.493917 0.838700 -0.001232 0.078137 1.425204 0.975793 0.601437 -0.534995 0.294543
place,0.130553 -0.722159 0.197382 0.522195 -0.453311 0.038023 0.501374 -0.058243 0.046153 -0.085787 0.302739 -0.458862 -0.468935 -0.539109 -0.251767 -0.186977
'm,1.393369 0.818524 0.940575 0.234291 -0.812390 -0.659370 0.276469 -0.095261 -0.193880 -0.275286 -0.143711 -0.816327 -0.854572 0.944013 0.261096 0.150203
into,-0.342133 -0.081089 0.502580 -0.415163 -0.219362 -0.455443 -0.375654 -0.887523 -0.434916 0.266342 1.912116 0.076710 0.110287 0.960254 1.122514 0.032785
take,1.449863 0.178542 0.256202 0.333676 -0.030957 -0.616959 0.860969 0.304602 0.088556 0.360571 0.217941 -0.063110 0.162981 0.061501 1.866917 -0.325816
going,1.475155 -0.577836 1.326694 1.075945 -0.248244 0.030053 -0.352090 0.555314 0.540787 0.193573 -1.168968 -1.219247 -0.061934 -0.026290 0.883674 -0.822462
service,-0.139226 -0.379626 -0.065468 0.068790 -0.554862 -0.377010 0.587566 0.139044 0.324724 -0.175791 0.048815 -0.246901 -0.385404 -0.698430 -0.654503 -0.167634
over,-0.900414 -0.090989 0.484279 -0.325982 -0.035258 -0.466132 -0.311909 -0.363387 -0.653887 0.042940 1.370979 0.996554 -0.105984 1.076049 0.680629 -0.360903
need,1.379322 -0.767553 1.070817 0.613112 -0.387180 0.013592 0.301553 0.210588 0.238845 0.152107 -0.022100 -0.532307 -0.294320 -0.049171 0.854891 -0.581781
thanks,-0.538125 -0.125305 0.649027 -0.298620 -0.811405 -0.866731 0.325200 0.036435 0.168630 -0.657326 -0.252683 0.667110 -0.991041 -0.459864 -0.662502 0.526685
make,1.551784 0.099131 0.841628 0.105076 -0.206196 -0.791629 0.430616 0.520127 0.038661 0.163830 -0.109222 -0.668078 0.295995 0.404194 2.045474 -0.543881
many,-0.424415 0.011706 -0.055064 0.234574 -0.127191 0.129183 0.312074 0.294023 -0.889638 -0.148971 -0.240085 1.472140 0.246794 -0.312741 -0.054137 -0.246748
year,-0.508785 -0.399305 0.322724 -0.010691 -0.605205 -0.506242 0.455907 0.142127 -0.383688 -0.092114 0.401628 0.047282 -0.437036 -0.141364 -0.541970 -0.134198
before,-0.847851 -0.311299 0.137000 -0.312802 0.046875 0.964819 -0.316301 0.053297 -0.403959 0.289128 1.138136 0.430248 -0.685797 1.454132 0.639410 -0.052257
here,-1.192848 0.508588 0.759476 0.205199 0.148201 0.248288 -0.011598 0.520314 -0.457484 -0.655058 -0.427109 0.692452 -1.063706 0.352270 -0.499611 -0.472313
number,-0.209317 -0.725884 0.009014 1.547492 -0.250104 -0.455130 0.273996 -0.297984 0.343208 -0.901761 0.103025 -0.077924 -0.278630 -1.010162 -0.511421 -0.477189
day,-0.566804 -0.736285 0.174823 0.153087 -0.586562 -0.040266 0.436537 0.098885 -0.266447 -0.120216 0.334269 -0.106762 -0.378114 0.050843 -0.536588 -0.109724
two,-0.004388 0.033885 -0.489692 0.026312 -0.258991 -0.274022 0.658910 0.222244 -0.314736 0.185099 -0.577632 1.054151 0.952317 -1.166359 -0.105438 0.116368
think,0.604609 -0.451263 0.339945 0.348624 -0.643455 0.914497 0.191336 0.662210 -0.148794 0.017297 -0.428379 -0.613207 -0.344257 -0.075342 1.777859 0.001259
food,0.146910 -0.341777 -0.082944 0.169987 -0.108684 -0.027372 0.439208 0.354406 0.257519 -0.122347 0.187093 -0.313411 -0.381526 -0.774914 -0.550802 0.215468
much,-0.653940 0.218027 0.196220 0.335340 0.082552 0.096553 0.433349 0.156786 -0.730543 0.090394 0.038065 1.088454 -0.336973 0.033472 0.081786 -0.379061
let,1.558390 -0.083021 0.505484 0.534177 -0.454963 0.113681 0.165345 1.013316 0.463122 0.689345 -1.277001 -0.752276 0.135464 0.048317 2.669994 -0.099755
first,-0.478144 0.353132 -0.112513 -0.085620 -0.049304 0.259855 0.230100 0.569699 -1.034247 -0.179774 -0.069807 1.231634 -0.539887 0.281031 -0.271569 -0.248854
s,0.398270 0.563253 0.397888 0.432252 -0.666200 -0.561717 -0.551379 0.119895 -0.764221 0.012730 0.131255 -1.036250 -0.300465 0.913256 0.072622 -0.134338
its,0.109006 0.475704 -1.256150 -0.811998 1.656235 0.106442 -0.049148 0.567776 1.876606 0.268630 -0.564411 1.360269 2.865538 -1.107008 0.338843 1.254847
call,0.513617 -0.612992 0.156846 0.528884 -0.421839 0.029067 0.607750 0.174651 0.028939 0.224483 0.229514 -0.363519 -0.398032 -0.311868 0.675019 -0.085075
2,-0.360736 0.227924 -0.139720 -0.146177 -0.499388 -0.500603 0.484487 0.457570 -0.481401 0.095801 -0.344077 0.898176 0.357509 -1.041076 -0.391929 0.344059
does,0.753866 1.987782 1.025239 0.771999 -0.763091 -0.714456 0.401205 0.024483 0.520297 1.464816 0.486170 -0.658059 -0.813199 0.733217 -0.489072 0.678028
--,-1.423398 1.109018 0.735429 -0.587905 0.074713 0.645913 -0.846010 0.834599 -1.110021 -0.954425 -1.071317 0.116848 -0.372885 -0.093734 0.643926 -0.506888
help,0.971243 -0.262946 0.101039 0.221725 0.060205 -0.096426 0.741379 0.650638 0.474626 0.402223 0.108991 -0.397697 -0.102615 -0.032148 0.826969 0.070639
years,-0.625142 -0.432557 0.249685 0.058062 -0.524995 -0.002340 0.451394 0.391559 -0.502326 -0.279249 0.252487 0.088758 -0.240436 -0.209238 -0.212000 -0.118393
being,1.378945 0.684608 0.389566 0.276216 -0.902927 -0.216504 0.471641 0.086584 -0.331893 -0.300717 0.731021 -0.863526 -0.188212 1.262189 0.229956 -0.077119
never,-0.978437 1.076089 0.630069 -0.677309 0.827480 2.036873 0.164179 0.733162 -1.102096 -0.884217 -0.663937 1.002573 -1.626157 1.279422 -1.026303 -0.767447
really,-0.882304 0.990298 0.329616 -0.394692 0.754793 1.017553 0.318540 0.622186 -0.923572 -0.518399 0.078183 1.652742 -1.350607 1.209183 -0.462212 -0.506995
'll,0.959096 1.914949 -0.102907 0.272318 -0.404175 1.086989 0.952766 0.047694 0.322068 0.073983 0.136669 -1.093518 -1.078990 0.872017 -0.743680 0.052425
pm,-0.980743 0.020464 -0.213578 -0.512054 -0.785828 -1.112928 0.606372 0.139456 0.129656 -0.487528 -0.290631 0.095648 -0.277552 -0.504258 -1.122384 -0.266073
most,-0.987076 0.236280 0.084548 0.208233 0.153606 0.029646 -0.025612 0.002633 -0.713462 -0.570419 0.325428 1.428629 -0.365844 0.813886 -0.424652 -0.647502
use,0.746257 0.017788 0.365991 0.159698 -0.233206 -0.396460 0.487398 0.466061 -0.314343 0.023043 0.310682 -0.295904 0.065421 -0.220500 1.410596 -0.219328
made,1.849394 -0.112096 0.410520 0.410152 0.146623 -0.710806 0.860945 0.576272 0.600094 0.308740 -0.140021 -0.219249 -0.064030 0.053351 1.703812 -0.426960
still,-0.807116 0.849231 0.328914 -0.115655 0.594216 1.374100 0.451599 0.494760 -0.921289 -0.565984 -0.108386 1.068518 -1.483424 1.105713 -0.684593 -0.513626
